2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:18 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:18 | INFO     | DF | Model loaded
2024-08-28 13:05:18 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:18 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:19 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:19 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:19 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:19 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:19 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:19 | INFO     | DF | Model loaded
2024-08-28 13:05:19 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:19 | INFO     | DF | Model loaded
2024-08-28 13:05:19 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:19 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:19 | INFO     | DF | Model loaded
2024-08-28 13:05:19 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:19 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:19 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:19 | INFO     | DF | Model loaded
2024-08-28 13:05:19 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:19 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:19 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:19 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:19 | INFO     | DF | Model loaded
2024-08-28 13:05:19 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:19 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:19 | INFO     | DF | Model loaded
2024-08-28 13:05:19 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:19 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:19 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:19 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:19 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:19 | INFO     | DF | Model loaded
2024-08-28 13:05:19 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:19 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:19 | INFO     | DF | Model loaded
2024-08-28 13:05:19 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:19 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:19 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:19 | INFO     | DF | Model loaded
2024-08-28 13:05:19 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Initializing model `deepfilternet3`
2024-08-28 13:05:19 | INFO     | DF | Found checkpoint E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2024-08-28 13:05:19 | INFO     | DF | Running on device cuda:0
2024-08-28 13:05:19 | INFO     | DF | Model loaded
2024-08-28 13:05:19 | INFO     | DF | Loading model settings of DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Using E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3 model at E:\kechuang\yugu\paraformer\paraformer_finetune\deepfilternet\models\DeepFilterNet3\DeepFilterNet3
2024-08-28 13:05:19 | INFO     | DF | Initializing model `deepfilternet3`
